Categories                      ,Product Code,JAN Code     ,Manufacturers               ,Product Name                                                                                                                                ,Product status     ,In-stock Date,Release Date  ,Pre-order Deadline,Number of Pieces                      ,Order Unit,Retail Price,Wholesale Price,URL
Capsule                         ,63770       ,4904790063770,Takaratomy Arts             ,Capsule Code Reel Remix                                                                                                                     ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,300 piecescarton = 6 bags × 50 pieces ,50        ,182         ,107            ,https://b2b.mile-stone.jp/en/products/000063770
Capsule                         ,62322       ,4904790062322,Takaratomy Arts             ,Fujihoro Memories Mini Collection                                                                                                           ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000062322
Capsule                         ,59667       ,4904790059667,Takaratomy Arts             ,HyokoTTo FRIENDS Disney Character                                                                                                           ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000059667
Capsule                         ,63823       ,4904790063824,Takaratomy Arts             ,"""PEANUTS"" Coffee Stand Style Figure Mascot"                                                                                              ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000063823
Capsule                         ,159731      ,4580590159730,Good Smile Company          ,"""RWBY: Ice Queendom"" Capsule Can Badge Collection Capsule"                                                                               ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,191            ,https://b2b.mile-stone.jp/en/products/000159731
Capsule                         ,64424       ,4904790064425,Takaratomy Arts             ,Takeshi Gundan Ojisan Tachi no Wakakatta Koro Can Badge                                                                                     ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000064424
Capsule                         ,62409       ,4904790062407,Takaratomy Arts             ,"Chokkorisan Fig. ""Miffy"""                                                                                                                ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000062409
Capsule                         ,63787       ,4904790063787,Takaratomy Arts             ,"DefoRubber! ""Blue Lock"" Key Chain"                                                                                                       ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000063787
Capsule                         ,59536       ,4904790059537,Takaratomy Arts             ,"BuchiMas! ""SPY x FAMILY"" Can Badge"                                                                                                      ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000059536
Capsule                         ,63861       ,4904790063862,Takaratomy Arts             ,"""Doraemon"" I'm Doraemon Dokodemo Chokonto Mascot 2"                                                                                      ,Pre-order          ,             ,Within 2022/10,2022-07-06        ,200 piecescarton = 5 bags × 40 pieces ,40        ,273         ,172            ,https://b2b.mile-stone.jp/en/products/000063861
