"Maker ID","Maker name"
759       ," i-rights"
530       ,-
423       ,1000toys
411       ,"16 Directions"
257       ,4-Leaves
503       ,52TOYS
374       ,"5PRO Studio"
1         ,A-Label
260       ,A-Plus
309       ,A-Toys
574       ,A3
453       ,"Abi Style Studio"
537       ,Academy
2         ,ACG
3         ,Acquire
624       ,ACROSS
440       ,"Action Toys"
4         ,"Aizu Project"
296       ,"Albatross Japan"
303       ,"Algernon Product"
454       ,AliceGlint
5         ,"Alpha x Omega"
6         ,AlphaMax
7         ,Alter
429       ,Alumina
8         ,am3
430       ,AMAKUNI
520       ,amiami
9         ,"Amiami ZERO"
262       ,AMIE
10        ,"Amie Grand"
495       ,amuse
622       ,ANICRAFT
623       ,AniGame
472       ,AniGift
521       ,AniMester
566       ,Aniplex
11        ,Aoshima
12        ,"Aoshima / Anime Export"
13        ,"Aoshima / Kawai Shokai"
435       ,APEX
488       ,"Apocrypha Toy"
395       ,"Apricot Blossom"
14        ,"AQ Interactive"
15        ,"Aqua Plus"
323       ,Aquamarine
16        ,"Arc System Works"
291       ,Arcadia
17        ,Arii
513       ,"Arma Bianca"
551       ,armabianca
18        ,"Art Of War"
264       ,"Art Spirits"
19        ,"Art Storm"
518       ,Artdink
20        ,ARUZE
21        ,"AS Networks"
22        ,ASK
354       ,"Asmus Toys"
343       ,Aspire
493       ,"Astrum Design"
590       ,"ASUKA Model"
23        ,"Atelier Aya"
24        ,"Atelier Sai"
25        ,Atlus
241       ,Atomfreak
399       ,ATS
322       ,AUTOart
733       ,"Axel Graphic Works"
26        ,Azone
736       ,azumaker
455       ,B2FIVE
27        ,Bandai
28        ,"Bandai Namco"
29        ,Banpresto
30        ,Beagle
342       ,"Beast Kingdom"
31        ,Beat
581       ,BeBOX
760       ,"Bell Fine"
588       ,"Bell House"
369       ,BellFine
336       ,"Big Ben"
371       ,"Big Boys Toys"
489       ,BigMore!
479       ,"Bishops Rondo"
757       ,"Bishop’s Rondo"
390       ,"Bishoujo Tairiku"
539       ,"BLACK CRYSTAL CANDY PROJECT"
341       ,Blackberry
32        ,"Blister Direct"
288       ,Blitzway
756       ,"Blue Oceans"
750       ,"Blue Oceans"
265       ,BOCO
599       ,Bones
586       ,"BOWU SCHOOL"
33        ,Broccoli
244       ,"BRS Project"
263       ,BRUMM
233       ,Bushiroad
747       ,"Bushiroad Creative"
34        ,"Butterfly`s Dream"
616       ,B´full
483       ,"B´full FOTS JAPAN"
35        ,CafeReo
36        ,Capcom
37        ,Caviar
612       ,"cavico models"
271       ,CCP
422       ,CCSTOYS
38        ,Chara-Ani
451       ,"Chugai Mining"
39        ,Chunsoft
40        ,Clayz
41        ,Climax
224       ,"Cms Corporation"
749       ,Coade
614       ,COAMIX
364       ,"Comicave Studios"
42        ,Cominica
610       ,"Contents Seed"
368       ,"Core Play"
43        ,Cospa
304       ,Crave
44        ,Create
500       ,"CREATIVE FIELD"
735       ,"Cross World Connections"
580       ,Crux
595       ,CS.FRONT
541       ,"Curtain Damashii"
743       ,"Curtain Tamashii"
247       ,Cuties
373       ,D-trade
621       ,D20studio
45        ,"D3 Publisher"
473       ,"Daibadi Production"
457       ,"Daikatori Omocha"
46        ,"Daiki Kougyo"
499       ,"Dainippon Kaiga"
47        ,"Daito Giken"
406       ,DamToys
245       ,"Dark Horse"
596       ,"Data House"
466       ,DCTer
48        ,Denyu-Sha
255       ,"Di molto bene"
49        ,"Digital Gain"
50        ,"Digital Works Entertainment"
51        ,"Dimple Entertainment"
52        ,Dive
739       ,"DMM pictures"
732       ,DMM.com
576       ,DODOWO
548       ,Dojinshi
53        ,Dorasu
415       ,Doujin
54        ,Doyusha
459       ,"Dragon Horse"
306       ,"Dragon Toy"
277       ,DreamTech
280       ,DWell
238       ,"Earth Defense Force Secret Base"
762       ,"EASTERN MODEL"
388       ,"Easy Eight"
55        ,Eat-Kip
56        ,ebCraft
235       ,eco!
57        ,"Edia Co."
58        ,"Eidos Interactive"
59        ,"Electronic Arts"
531       ,Ell
60        ,"Embrace Japan"
386       ,Emontoys
307       ,Empty
61        ,Enix
242       ,Ensky
426       ,Ensoutoys
261       ,Enterbay
62        ,Enterbrain
63        ,Epoch
64        ,Ertain
738       ,eStream
258       ,"Evolution Toy"
65        ,"EYE UP"
66        ,"Eyescream (President Japan) "
727       ,"F Collection"
477       ,F-collection
67        ,F-TOYS
450       ,F.W.A.T.
482       ,Faleno
517       ,FANTHFUL
68        ,"Fewture Models"
526       ,"FIGURAMA COLLECTORS"
287       ,"Figures Toy"
392       ,"Fine Clover"
69        ,"Fine Molds"
396       ,"First 4 Figure"
70        ,"First class"
617       ,"Flame Toys"
419       ,Flare
394       ,"Fots Japan"
339       ,Fragment
71        ,FREEing
72        ,"From Software"
465       ,"Frontier Works"
329       ,"Fuji TV Union Creative"
611       ,Fujimi
583       ,Fukuya
357       ,Fullcock
270       ,Funko
73        ,"Funny Knights"
74        ,Furyu
593       ,Futabasha
377       ,"Future Quest"
558       ,GAINAX
535       ,Gakken
317       ,"Gaming Heads"
335       ,Gecco
358       ,Genco
75        ,"Gene X"
761       ,GENEARZ
