Categories                        ,category id,subcategory id
Collectibles (Miscellaneous Goods),2878       ,2882
Figure・Doll                       ,2867       ,2869
Stationery                        ,2878       ,2882
Variety Goods                     ,2878       ,2882
Keyholder・Stand                   ,2878       ,2882
Apparel                           ,2878       ,2882
Kitchen Goods & Items             ,2878       ,2882
Badge・Magnet                      ,2878       ,2882
Card                              ,2877       ,2884
Plush                             ,2878       ,2880
Hug Pillow・Interior Goods         ,2878       ,2872
Plastic Model                     ,2870       ,2872
Smart Phone・Computer Accessory    ,2878       ,2882
Collectibles Figure               ,2867       ,2869
